2025-11-07 14:02:04,879 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,885 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,886 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,902 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,907 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,913 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,917 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,921 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,924 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,926 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,930 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,934 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,938 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,942 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,947 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,950 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,954 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,958 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,960 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,965 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,969 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,973 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,979 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,982 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,985 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,987 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:04,989 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,001 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,006 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,010 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,014 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,018 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,022 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,029 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,034 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,039 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,045 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,048 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,060 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,064 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,086 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,092 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,097 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,108 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,120 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,129 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,134 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,149 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,152 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
2025-11-07 14:02:05,155 [ERROR] [MainThread] [root/volume.py:1015]: Failed to initialize volume interface: (-2147023728, 'Element not found.', (None, None, None, 0, None))
